,agglomeration
0,Agglomération d'Aix-Marseille
1,Agglomération d'Arles
2,Agglomération de Besançon
3,Agglomération de Montbéliard
4,Agglomération de Valence-Romans
5,Agglomération de Montélimar
6,Agglomération de Brest
7,Agglomération d'Ajaccio
8,Agglomération de Nîmes
9,Agglomération de Toulouse
10,Agglomération de Montpellier
11,Agglomération de Sète
12,Agglomération de Rennes
13,Agglomération de Vitré
14,Agglomération de Saint-Malo
15,Agglomération de Nantes
16,Agglomération de Nancy
17,Golfe du Morbihan - Vannes Agglomération
18,Lorient Agglomération
19,Auray Quiberon Terre Atlantique
20,Agglomération d'Alençon
21,Eurométropole de Strasbourg
22,Agglomération de Chalon-sur-Saône
23,Agglomération de Mâcon
24,Agglomération parisienne
25,Paris intra-muros
26,Agglomération parisienne (hors Paris)
27,La Roche-sur-Yon Agglomération
28,Les Sables d'Olonne Agglomération
29,Pays de Challans
30,Pays de Saint Gilles Croix de Vie
